Reference,Year,Full.Reference,peer.review,search,Location,USA,Global.Region,Method,Conventional..Molecular..or.Immunologic,MDL.ALOD.LOD,Below.MDL,MDL.units,Sample.Volume,kingdom,class,order,family,genius,Animal.common.name,Animal.Latin.Name,X,Free.captive,Pathogen1,Pathogen,medium,Presence,Enumerated,Censored.Data,Enum.Stats,Presence.Absence,Total,percent,Individual.Sample,Mean,Geometric.mean,Standard.deviation,Median,Min,Max,X95..low,X95..high,units,Notes,Notes.1,CenMedianLow,CenMedianHigh,CenMinLow,CenMinHigh,CenMaxLow,CenMaxHigh,log10mean,log10SD,GRADES,GRADES_Score
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Anseriformes,Anatidae,Mareca,Eurasian wigeon,Anas penelope,,free,Campylobacter coli,Campylobacter coli,feces or cloaca swab,yes,no,,,ND,1,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Anseriformes,Anatidae,Mareca,Eurasian wigeon,Anas penelope,,free,Campylobacter jejuni,Campylobacter jejuni,feces or cloaca swab,yes,no,,,ND,1,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Anseriformes,Anatidae,Mareca,Eurasian wigeon,Anas penelope,,free,Campylobacter lari,Campylobacter lari,feces or cloaca swab,yes,no,,,ND,1,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Charadriiformes,Scolopacidae,Scolopax,Eurasian woodcock,Scolopax rusticola,,free,Campylobacter spp.,Campylobacter,feces or cloaca swab,yes,no,,,1,1,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Charadriiformes,Scolopacidae,Scolopax,Eurasian woodcock,Scolopax rusticola,,free,Campylobacter coli,Campylobacter coli,feces or cloaca swab,yes,no,,,ND,1,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Charadriiformes,Scolopacidae,Scolopax,Eurasian woodcock,Scolopax rusticola,,free,Campylobacter jejuni,Campylobacter jejuni,feces or cloaca swab,yes,no,,,ND,1,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Charadriiformes,Scolopacidae,Scolopax,Eurasian woodcock,Scolopax rusticola,,free,Campylobacter lari,Campylobacter lari,feces or cloaca swab,yes,no,,,ND,1,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Passeriformes,Fringillidae,Carduelis,European goldfinch,Carduelis carduelis,,free,Campylobacter spp.,Campylobacter,feces or cloaca swab,yes,no,,,ND,5,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Passeriformes,Fringillidae,Carduelis,European goldfinch,Carduelis carduelis,,free,Campylobacter coli,Campylobacter coli,feces or cloaca swab,yes,no,,,ND,5,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Passeriformes,Fringillidae,Carduelis,European goldfinch,Carduelis carduelis,,free,Campylobacter jejuni,Campylobacter jejuni,feces or cloaca swab,yes,no,,,ND,5,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Passeriformes,Fringillidae,Carduelis,European goldfinch,Carduelis carduelis,,free,Campylobacter lari,Campylobacter lari,feces or cloaca swab,yes,no,,,ND,5,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Piciformes,Picidae,Picus,European green woodpecker,Picus viridis,,free,Campylobacter spp.,Campylobacter,feces or cloaca swab,yes,no,,,ND,5,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Piciformes,Picidae,Picus,European green woodpecker,Picus viridis,,free,Campylobacter coli,Campylobacter coli,feces or cloaca swab,yes,no,,,ND,5,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Piciformes,Picidae,Picus,European green woodpecker,Picus viridis,,free,Campylobacter jejuni,Campylobacter jejuni,feces or cloaca swab,yes,no,,,ND,5,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Piciformes,Picidae,Picus,European green woodpecker,Picus viridis,,free,Campylobacter lari,Campylobacter lari,feces or cloaca swab,yes,no,,,ND,5,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Passeriformes,Fringillidae,Chloris,European greenfinch,Carduelis chloris,,free,Campylobacter spp.,Campylobacter,feces or cloaca swab,yes,no,,,ND,29,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Passeriformes,Fringillidae,Chloris,European greenfinch,Carduelis chloris,,free,Campylobacter coli,Campylobacter coli,feces or cloaca swab,yes,no,,,1,29,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Passeriformes,Fringillidae,Chloris,European greenfinch,Carduelis chloris,,free,Campylobacter jejuni,Campylobacter jejuni,feces or cloaca swab,yes,no,,,ND,29,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Passeriformes,Fringillidae,Chloris,European greenfinch,Carduelis chloris,,free,Campylobacter lari,Campylobacter lari,feces or cloaca swab,yes,no,,,ND,29,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Caprimulgiformes,Caprimulgidae,Caprimulgus,European nightjar,Caprimulgus europaeus,,free,Campylobacter spp.,Campylobacter,feces or cloaca swab,yes,no,,,ND,1,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Caprimulgiformes,Caprimulgidae,Caprimulgus,European nightjar,Caprimulgus europaeus,,free,Campylobacter coli,Campylobacter coli,feces or cloaca swab,yes,no,,,ND,1,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Caprimulgiformes,Caprimulgidae,Caprimulgus,European nightjar,Caprimulgus europaeus,,free,Campylobacter jejuni,Campylobacter jejuni,feces or cloaca swab,yes,no,,,ND,1,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Caprimulgiformes,Caprimulgidae,Caprimulgus,European nightjar,Caprimulgus europaeus,,free,Campylobacter lari,Campylobacter lari,feces or cloaca swab,yes,no,,,ND,1,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Passeriformes,Muscicapidae,Ficedula,European pied flycatcher,Ficedula hypoleuca,,free,Campylobacter spp.,Campylobacter,feces or cloaca swab,yes,no,,,ND,5,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Passeriformes,Muscicapidae,Ficedula,European pied flycatcher,Ficedula hypoleuca,,free,Campylobacter coli,Campylobacter coli,feces or cloaca swab,yes,no,,,ND,5,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Passeriformes,Muscicapidae,Ficedula,European pied flycatcher,Ficedula hypoleuca,,free,Campylobacter jejuni,Campylobacter jejuni,feces or cloaca swab,yes,no,,,ND,5,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Passeriformes,Muscicapidae,Ficedula,European pied flycatcher,Ficedula hypoleuca,,free,Campylobacter lari,Campylobacter lari,feces or cloaca swab,yes,no,,,ND,5,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Passeriformes,Muscicapidae,Erithacus,European robin,Erithacus rubecula,,free,Campylobacter spp.,Campylobacter,feces or cloaca swab,yes,no,,,ND,299,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Passeriformes,Muscicapidae,Erithacus,European robin,Erithacus rubecula,,free,Campylobacter coli,Campylobacter coli,feces or cloaca swab,yes,no,,,ND,299,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Passeriformes,Muscicapidae,Erithacus,European robin,Erithacus rubecula,,free,Campylobacter jejuni,Campylobacter jejuni,feces or cloaca swab,yes,no,,,ND,299,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Passeriformes,Muscicapidae,Erithacus,European robin,Erithacus rubecula,,free,Campylobacter lari,Campylobacter lari,feces or cloaca swab,yes,no,,,ND,299,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Passeriformes,Fringillidae,Serinus,European serin,Serinus serinus,,free,Campylobacter spp.,Campylobacter,feces or cloaca swab,yes,no,,,ND,7,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Passeriformes,Fringillidae,Serinus,European serin,Serinus serinus,,free,Campylobacter coli,Campylobacter coli,feces or cloaca swab,yes,no,,,ND,7,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Passeriformes,Fringillidae,Serinus,European serin,Serinus serinus,,free,Campylobacter jejuni,Campylobacter jejuni,feces or cloaca swab,yes,no,,,ND,7,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Passeriformes,Fringillidae,Serinus,European serin,Serinus serinus,,free,Campylobacter lari,Campylobacter lari,feces or cloaca swab,yes,no,,,ND,7,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Passeriformes,Sturnidae,Sturnus,European starling,Sturnus vulgaris,,free,Campylobacter spp.,Campylobacter,feces or cloaca swab,yes,no,,,2,31,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Passeriformes,Sturnidae,Sturnus,European starling,Sturnus vulgaris,,free,Campylobacter coli,Campylobacter coli,feces or cloaca swab,yes,no,,,ND,31,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Passeriformes,Sturnidae,Sturnus,European starling,Sturnus vulgaris,,free,Campylobacter jejuni,Campylobacter jejuni,feces or cloaca swab,yes,no,,,10,31,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Passeriformes,Sturnidae,Sturnus,European starling,Sturnus vulgaris,,free,Campylobacter lari,Campylobacter lari,feces or cloaca swab,yes,no,,,2,31,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Passeriformes,Turdidae,Turdus,Fieldfare,Turdus pilaris,,free,Campylobacter spp.,Campylobacter,feces or cloaca swab,yes,no,,,ND,14,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Passeriformes,Turdidae,Turdus,Fieldfare,Turdus pilaris,,free,Campylobacter coli,Campylobacter coli,feces or cloaca swab,yes,no,,,ND,14,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Passeriformes,Turdidae,Turdus,Fieldfare,Turdus pilaris,,free,Campylobacter jejuni,Campylobacter jejuni,feces or cloaca swab,yes,no,,,2,14,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Passeriformes,Turdidae,Turdus,Fieldfare,Turdus pilaris,,free,Campylobacter lari,Campylobacter lari,feces or cloaca swab,yes,no,,,ND,14,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Passeriformes,Sylviidae,Sylvia,Garden warbler,Sylvia borin,,free,Campylobacter spp.,Campylobacter,feces or cloaca swab,yes,no,,,ND,4,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Passeriformes,Sylviidae,Sylvia,Garden warbler,Sylvia borin,,free,Campylobacter coli,Campylobacter coli,feces or cloaca swab,yes,no,,,ND,4,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Passeriformes,Sylviidae,Sylvia,Garden warbler,Sylvia borin,,free,Campylobacter jejuni,Campylobacter jejuni,feces or cloaca swab,yes,no,,,ND,4,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Passeriformes,Sylviidae,Sylvia,Garden warbler,Sylvia borin,,free,Campylobacter lari,Campylobacter lari,feces or cloaca swab,yes,no,,,ND,4,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Passeriformes,Regulidae,Regulus,Goldcrest,Regulus regulus,,free,Campylobacter spp.,Campylobacter,feces or cloaca swab,yes,no,,,2,200,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Passeriformes,Regulidae,Regulus,Goldcrest,Regulus regulus,,free,Campylobacter coli,Campylobacter coli,feces or cloaca swab,yes,no,,,ND,200,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Passeriformes,Regulidae,Regulus,Goldcrest,Regulus regulus,,free,Campylobacter jejuni,Campylobacter jejuni,feces or cloaca swab,yes,no,,,ND,200,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Passeriformes,Regulidae,Regulus,Goldcrest,Regulus regulus,,free,Campylobacter lari,Campylobacter lari,feces or cloaca swab,yes,no,,,ND,200,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Suliformes,Phalacrocoracidae,Phalacrocorax,Great cormorant,Phalacrocorax carbo,,free,Campylobacter spp.,Campylobacter,feces or cloaca swab,yes,no,,,ND,1,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Suliformes,Phalacrocoracidae,Phalacrocorax,Great cormorant,Phalacrocorax carbo,,free,Campylobacter coli,Campylobacter coli,feces or cloaca swab,yes,no,,,ND,1,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Suliformes,Phalacrocoracidae,Phalacrocorax,Great cormorant,Phalacrocorax carbo,,free,Campylobacter jejuni,Campylobacter jejuni,feces or cloaca swab,yes,no,,,ND,1,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Suliformes,Phalacrocoracidae,Phalacrocorax,Great cormorant,Phalacrocorax carbo,,free,Campylobacter lari,Campylobacter lari,feces or cloaca swab,yes,no,,,ND,1,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Waldenstrom et al.,2002,Waldenstrom et al. 2002,yes,review,"Sweden, Oland, Oteby Bird Observatory",no,Europe,"PCR, Biochemical, plate culture, outside lab, standard method",Molecular,NA,NA,NA,NA,Animal,Bird,Passeriformes,Laniidae,Lanius,Great grey shrike,Lanius excubitor,,free,Campylobacter spp.,Campylobacter,feces or cloaca swab,yes,no,,,ND,1,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
